,filename,preproc_ms,work_ms
104,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group3_4_1.mtx,0.610016,0.056288
105,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group1_2_1.mtx,0.037312,0.013568
106,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group4_1_1.mtx,2.041408,0.0608
107,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group4_1_1.mtx,1.545696,0.059328
108,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group_projection_block_group1.mtx,0.028896,0.014784
109,dlmc/rn50/random_pruning/0.8/final_dense.mtx,1.868448,0.07104
110,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group_projection_block_group4.mtx,2.612896,0.074752
111,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group3_2_1.mtx,0.72192,0.04
112,dlmc/rn50/random_pruning/0.8/bottleneck_projection_block_group_projection_block_group3.mtx,0.852032,0.040864
113,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group3_4_1.mtx,0.725952,0.041888
114,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group1_1_1.mtx,0.038624,0.01504
115,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group2_1_1.mtx,0.65312,0.041184
116,dlmc/rn50/random_pruning/0.8/bottleneck_1_block_group3_1_1.mtx,0.731296,0.041056
117,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group3_2_1.mtx,0.578208,0.040128
118,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group3_1_1.mtx,1.18512,0.04192
119,dlmc/rn50/random_pruning/0.8/initial_conv.mtx,0.049216,0.01024
120,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group_projection_block_group3.mtx,0.576832,0.040256
121,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group2_3_1.mtx,0.773344,0.042112
122,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group2_1_1.mtx,0.770944,0.041472
123,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group3_2_1.mtx,1.183968,0.041792
124,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group_projection_block_group2.mtx,0.037088,0.014304
125,dlmc/rn50/random_pruning/0.8/bottleneck_3_block_group_projection_block_group1.mtx,0.030336,0.014816
126,dlmc/rn50/random_pruning/0.8/bottleneck_2_block_group2_2_1.mtx,0.775328,0.04224
